#   1 X_IMAGE         Object position along x                         [pixel]
#   2 Y_IMAGE         Object position along y                         [pixel]
#   3 ALPHA_J2000     Right ascension of barycenter (J2000)           [deg]
#   4 DELTA_J2000     Declination of barycenter (J2000)               [deg]
#   5 NUMBER          Running object number
#   6 FWHM_IMAGE      FWHM assuming a gaussian core                   [pixel]
#   7 KRON_RADIUS     Kron apertures in units of A or B
#   8 BACKGROUND      Background at centroid position                 [count]
#   9 THRESHOLD       Detection threshold above background            [count]
#  10 MAG_APER        Fixed aperture magnitude vector                 [mag]
#  12 MAGERR_APER     RMS error vector for fixed aperture mag.        [mag]
#  14 FLAGS           Extraction flags
#  15 CLASS_STAR      S/G classifier output
   417.606      5.610  86.2409442  +9.1805418          1     4.92 16.11   0.01461472     2.777767  -5.0442  -5.6513   0.1156   0.1136  16  0.50
  1555.502   2274.494  86.0558280  +9.0888484          2     2.92  0.00 -0.001083753     1.349678  -2.7527  99.0000   0.2435  99.0000   0  0.42
  1120.991   2274.215  86.0558368  +9.1238525          3     3.78  0.00   0.00131159     1.350098  -3.4875  -0.8891   0.1470   3.5851   0  0.35
  1065.810   2273.914  86.0558596  +9.1282978          4     4.41 14.64  0.001402345     1.352388  -3.7688  -1.3374   0.1172   2.3360   0  0.39
  1809.481   2272.522  86.0559970  +9.0683881          5     2.92  0.00 -0.0002676375     1.379212  -1.5604  -2.9665   0.7754   0.5271   0  0.45
  1759.500   2270.627  86.0561500  +9.0724145          6     4.13 18.35 -0.001215857     1.371105  -3.5852  -4.0474   0.1421   0.1997   0  0.40
  1686.984   2270.473  86.0561602  +9.0782564          7     3.69 18.60 -0.001898551     1.360662  -3.5719  -2.6531   0.1432   0.7072   0  0.41
  1097.775   2270.041  86.0561766  +9.1257228          8     3.13  0.00  0.002130024     1.348582  -3.0514  99.0000   0.2290  99.0000   0  0.44
  1181.751   2269.005  86.0562639  +9.1189578          9     3.18  0.00 -0.0006777194     1.344146  -2.9147  -3.9003   0.2348   0.2342   0  0.40
   757.469   2269.500  86.0562099  +9.1531378         10     2.92  0.00 -0.004457484     1.365236  -3.0093  -1.7202   0.2048   1.6254   0  0.36
  1356.480   2268.511  86.0563097  +9.1048817         11     0.28  0.00 -0.0007119596     1.341156  -3.2828  -3.7973   0.1710   0.2486   0  0.35
  1277.496   2268.501  86.0563080  +9.1112447         12     2.92  0.00 -0.001383779     1.341822  -1.6091  99.0000   0.7188  99.0000   0  0.39
   443.484   2268.506  86.0562809  +9.1784324         13     2.92  0.00 -0.001271929     1.408775  -2.5158  99.0000   0.3102  99.0000   0  0.44
  1706.203   2266.623  86.0564749  +9.0767082         14     5.88 17.91 -0.001858544     1.360065  -4.0003  -3.4137   0.1072   0.3765   3  0.43
  1707.445   2262.242  86.0568324  +9.0766083         15     4.77 16.15  -0.03328053     1.356008  -4.6867  -5.0412   0.0671   0.0900   2  0.37
  1998.000   2260.169  86.0570107  +9.0532014         16     3.91 15.13 -0.001679833     1.419199  -3.5345  -2.7499   0.1530   0.7109   0  0.36
  1880.116   2259.258  86.0570813  +9.0626981         17     6.87  0.00   0.06426886     1.343341  -3.8464  -3.5454   0.1176   0.3287   0  0.36
